Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EL","Land use indicators","5000","World","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2004","2004","%","0.45","Fc","Calculated data"
"EL","Land use indicators","5000","World","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2005","2005","%","0.6","Fc","Calculated data"
"EL","Land use indicators","5000","World","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2006","2006","%","0.62","Fc","Calculated data"
"EL","Land use indicators","5000","World","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2007","2007","%","0.66","Fc","Calculated data"
"EL","Land use indicators","5000","World","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2008","2008","%","0.72","Fc","Calculated data"
"EL","Land use indicators","5000","World","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2009","2009","%","0.76","Fc","Calculated data"
"EL","Land use indicators","5000","World","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2010","2010","%","0.74","Fc","Calculated data"
"EL","Land use indicators","5000","World","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2011","2011","%","0.76","Fc","Calculated data"
"EL","Land use indicators","5000","World","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2012","2012","%","0.78","Fc","Calculated data"
"EL","Land use indicators","5000","World","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2013","2013","%","0.75","Fc","Calculated data"
"EL","Land use indicators","5000","World","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2014","2014","%","0.94","Fc","Calculated data"
"EL","Land use indicators","5000","World","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2015","2015","%","1.06","Fc","Calculated data"
"EL","Land use indicators","5000","World","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2016","2016","%","1.2","Fc","Calculated data"
"EL","Land use indicators","5000","World","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2017","2017","%","1.43","Fc","Calculated data"
"EL","Land use indicators","5100","Africa","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2004","2004","%","0.05","Fc","Calculated data"
"EL","Land use indicators","5100","Africa","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2005","2005","%","0.08","Fc","Calculated data"
"EL","Land use indicators","5100","Africa","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2006","2006","%","0.1","Fc","Calculated data"
"EL","Land use indicators","5100","Africa","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2007","2007","%","0.11","Fc","Calculated data"
"EL","Land use indicators","5100","Africa","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2008","2008","%","0.11","Fc","Calculated data"
"EL","Land use indicators","5100","Africa","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2009","2009","%","0.12","Fc","Calculated data"
"EL","Land use indicators","5100","Africa","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2010","2010","%","0.09","Fc","Calculated data"
"EL","Land use indicators","5100","Africa","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2011","2011","%","0.09","Fc","Calculated data"
"EL","Land use indicators","5100","Africa","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2012","2012","%","0.1","Fc","Calculated data"
"EL","Land use indicators","5100","Africa","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2013","2013","%","0.09","Fc","Calculated data"
"EL","Land use indicators","5100","Africa","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2014","2014","%","0.11","Fc","Calculated data"
"EL","Land use indicators","5100","Africa","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2015","2015","%","0.15","Fc","Calculated data"
"EL","Land use indicators","5100","Africa","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2016","2016","%","0.16","Fc","Calculated data"
"EL","Land use indicators","5100","Africa","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2017","2017","%","0.17","Fc","Calculated data"
"EL","Land use indicators","5200","Americas","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2004","2004","%","0.28","Fc","Calculated data"
"EL","Land use indicators","5200","Americas","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2005","2005","%","0.61","Fc","Calculated data"
