
" ";"2012";"2013";"2014";"2015";"2016";"2017"
"Žita za zrnje";2861.92;2942.75;3929.31;3386.36;4725.15;4848.86
"Stroènice za suho zrnje";-;-;38.12;73.60;105.57;201.29
"Korenovke in gomoljnice";1114.60;1184.75;1579.14;1611.25;1622.21;1767.90
"Industrijske rastline";184.03;124.69;155.78;216.54;88.34;426.69
"Zelena krma z njiv";5642.96;6300.87;10857.05;9356.67;12123.98;14297.70
"Zelenjadnice in melone";701.63;1217.61;1410.71;1573.09;1746.27;1478.01
"Jagode";10.94;15.31;27.01;27.78;24.22;37.90
"Gojene gobe";4.30;5.85;7.70;5.58;20.50;0.08
"Sadje";1207.30;1817.23;1845.31;2744.45;1937.21;895.36
"Oljke";99.98;210.05;175.87;340.08;417.89;423.08
"Grozdje";570.50;815.96;964.04;1207.99;1017.44;1312.32
"Seno s trajnih travinj";56142.27;64210.84;75476.95;48571.68;50936.53;50483.45
