IZDELEK;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
;Povpreèna cena;Povpreèna cena;Povpreèna cena;Povpreèna cena;Povpreèna cena;Povpreèna cena;Povpreèna cena;Povpreèna cena;Povpreèna cena;Povpreèna cena;Povpreèna cena;Povpreèna cena;Povpreèna cena;Povpreèna cena;Povpreèna cena;Povpreèna cena;Povpreèna cena;Povpreèna cena;Povpreèna cena
Krompir, jedilni (zgodnji in pozni) (kg);0,41;0,44;0,44;0,65;0,63;0,49;0,58;0,87;0,88;0,86;0,84;1,03;1,05;0,96;1,09;0,91;0,99;1,03;1,06
Fižol, v zrnju (kg);2,15;2,43;2,68;2,76;2,83;3,16;3,53;4,51;5,06;4,03;5,91;6,14;5,97;5,69;5,80;5,57;5,47;5,64;5,30
Fižol, stroèji (kg);1,86;2,16;2,00;2,63;2,02;2,25;2,90;3,52;3,95;3,72;3,98;4,21;4,81;4,24;3,95;5,18;4,75;5,37;4,51
Grah, stroèji (kg);1,76;2,00;2,13;3,10;2,50;2,60;3,03;3,81;3,55;4,41;3,67;4,58;5,23;3,69;3,92;5,80;3,33;3,58;4,00
Èebula (kg);0,79;0,88;1,01;1,04;1,09;1,13;1,17;1,32;1,28;1,15;1,53;1,69;1,78;1,74;1,77;2,02;2,22;1,99;1,94
Èesen (kg);2,14;2,24;2,31;2,53;2,64;3,16;3,96;5,41;5,24;4,82;5,92;8,25;8,37;8,84;8,27;8,16;7,36;8,09;9,22
Por (kg);-;-;-;2,12;2,20;2,08;2,25;2,30;2,50;2,46;2,76;2,71;2,50;3,03;2,91;2,83;3,00;2,75;3,11
Belo zelje (kg);0,55;0,62;0,67;0,83;0,85;0,74;0,82;0,95;1,00;1,07;1,12;1,29;1,39;1,47;1,32;1,23;1,26;1,24;1,44
Rdeèe zelje (kg);-;-;-;-;-;-;-;-;-;-;-;1,36;1,84;1,70;1,60;1,64;1,63;1,69;1,50
Kitajski kapus (kg);-;-;-;1,54;1,62;1,82;1,57;1,69;1,87;1,80;1,81;1,96;2,40;1,99;1,63;2,42;2,43;2,45;2,49
Ohrovt (kg);1,10;1,18;1,22;1,46;1,54;1,40;1,49;1,49;1,70;1,88;2,00;2,04;2,14;2,13;2,15;2,26;2,19;2,24;2,89
Cvetaèa in brokoli (kg);1,50;1,61;1,72;2,18;1,96;2,01;2,38;2,35;2,52;2,62;2,50;2,80;2,61;2,61;2,67;2,83;2,78;2,83;3,15
Korenèek (kg);0,90;1,04;1,16;1,24;1,31;1,29;1,37;1,35;1,47;1,70;2,01;1,88;1,97;1,85;1,83;2,11;2,05;2,09;1,92
Paradižnik (kg);1,03;1,17;1,23;1,34;1,22;1,55;1,69;2,01;2,09;1,96;1,87;2,27;1,99;1,96;2,41;2,59;2,62;2,73;3,36
Paprika (kg);1,34;1,67;1,53;1,79;1,74;1,62;1,79;2,23;2,45;2,36;2,08;2,21;2,00;2,26;2,42;2,90;2,86;2,91;2,99
Jajèevec (kg);1,37;1,55;1,90;1,89;1,62;1,73;2,01;2,23;2,69;2,68;2,11;2,89;2,60;3,04;2,69;3,10;3,11;3,13;3,49
Špinaèa (kg);2,13;2,53;2,54;2,64;2,53;2,89;3,34;3,55;4,20;4,60;4,24;4,26;4,84;4,47;4,79;6,45;6,09;6,26;6,64
Zelena solata (kg);1,55;1,96;2,10;2,00;1,70;1,83;1,99;2,30;2,32;2,31;2,34;2,68;2,25;2,25;2,33;2,65;2,63;2,70;3,08
Endivija (kg);-;-;-;-;-;-;-;-;-;-;-;2,46;2,29;2,06;2,24;2,16;2,16;2,13;2,38
Radiè, vse vrste (kg);-;2,74;3,13;3,18;3,17;3,15;3,44;3,04;3,34;3,67;4,16;4,33;4,09;3,82;3,88;3,95;3,81;3,94;3,85
Motovilec (kg);-;6,55;6,68;6,70;6,98;7,48;8,10;7,72;10,36;10,59;10,32;11,56;10,74;9,00;8,22;7,94;7,98;7,99;8,17
Kumare, solatne (kg);0,87;1,02;1,13;1,14;1,00;1,16;1,40;1,20;1,76;2,00;1,75;2,06;2,36;2,23;1,84;2,45;2,57;2,60;3,18
Kumare, za vlaganje (kg);-;-;-;1,33;1,29;1,34;1,46;1,89;1,84;2,63;1,91;2,08;2,15;1,87;2,22;2,56;2,61;2,15;2,34
Buèke (kg);1,08;1,46;1,34;1,58;1,25;1,52;1,61;1,80;1,94;2,25;2,15;2,48;2,34;2,27;2,26;2,80;2,55;2,67;3,38
Rdeèa pesa (kg);0,86;0,87;1,05;1,17;1,24;1,25;1,37;1,55;1,62;1,69;1,53;1,97;1,63;1,71;1,77;1,74;1,70;1,77;1,98
Lubenice in dinje (kg);0,58;0,80;0,74;0,74;0,98;0,83;1,16;1,39;0,57;1,36;1,09;1,80;1,70;1,69;1,38;1,11;1,65;1,33;1,66
Šparglji in beluši (kg);-;-;-;-;-;-;-;-;-;-;-;8,08;10,05;7,30;10,59;9,70;9,78;9,61;11,03
Sveže slive in èešplje (kg);0,99;1,10;1,24;1,29;1,09;1,30;1,33;1,56;1,92;1,70;1,75;2,11;2,12;1,73;1,94;2,06;2,28;2,33;2,34
Suhe slive (kg);2,81;2,99;3,12;3,77;3,77;2,75;1,97;2,45;3,92;3,33;3,90;4,48;5,57;5,19;5,09;5,03;4,95;4,92;5,95
Namizna jabolka (kg);0,62;0,68;0,80;0,83;0,90;0,80;0,83;1,06;1,32;1,38;1,32;1,58;1,53;1,51;1,39;1,52;1,54;1,61;1,62
Hruške (kg);1,16;1,23;1,31;1,47;1,35;1,37;1,42;1,71;2,05;2,14;1,84;2,30;2,48;2,65;2,37;2,14;2,16;2,34;2,00
Èešnje (kg);2,10;2,82;2,65;3,39;3,64;3,33;3,32;4,52;5,95;5,40;5,20;4,77;4,75;4,78;5,24;5,38;5,15;5,83;4,44
Višnje (kg);1,86;2,02;2,37;2,83;2,42;2,93;3,00;3,24;5,20;4,41;4,15;3,12;4,79;3,61;5,27;4,35;5,99;4,84;4,69
Marelice (kg);1,69;1,91;1,87;2,57;2,08;2,20;2,28;3,74;4,15;3,63;2,52;3,48;3,06;3,04;3,13;3,41;3,39;3,56;4,19
Breskve in nektarine (kg);1,01;1,12;1,06;1,55;1,29;1,23;1,31;1,94;2,20;2,20;2,09;2,34;2,25;2,49;2,53;2,57;3,06;3,05;2,89
Celi orehi (kg);2,78;2,75;2,58;2,66;2,23;2,64;3,39;3,89;4,99;5,25;3,81;6,49;6,73;6,28;7,53;7,55;7,68;7,56;8,30
Orehova jedrca (kg);4,33;4,60;5,22;4,89;4,63;5,67;6,42;7,43;9,62;8,89;8,37;12,34;11,64;13,38;12,39;13,06;13,69;13,83;15,40
Celi lešniki in mandlji (kg);2,50;3,06;4,46;3,68;4,79;3,76;9,37;13,04;12,77;5,05;9,00;8,95;8,58;7,69;6,65;9,57;9,40;9,52;8,65
Lešnikova in mandljeva jedrca (kg);4,97;5,01;4,58;6,68;7,41;7,97;12,75;13,17;13,16;12,90;12,78;13,92;13,90;13,58;13,47;17,86;17,46;17,58;16,17
Kostanj (kg);1,16;1,20;1,35;1,27;1,75;1,89;2,07;2,72;2,60;2,52;2,41;1,92;2,65;3,47;4,13;4,54;4,51;4,67;3,83
Jagode (kg);2,33;2,95;2,61;2,93;2,83;2,88;3,54;4,44;4,21;4,92;4,23;4,90;5,25;5,00;5,59;4,79;4,81;4,92;5,76
Maline (kg);2,49;2,88;4,26;3,93;3,85;3,60;5,10;9,32;8,71;6,15;5,22;5,60;4,91;5,45;6,49;7,39;5,43;6,88;6,76
Ameriške borovnice (kg);-;4,27;4,15;4,78;5,05;6,77;7,17;8,48;8,30;8,65;9,22;9,97;8,74;10,59;9,90;9,58;8,81;9,61;9,15
Sveže fige (kg);1,51;2,12;1,94;2,43;2,33;2,14;2,72;3,28;3,28;3,16;3,58;3,44;3,73;3,77;3,56;4,54;3,82;5,00;5,01
Suhe fige (kg);3,19;3,95;3,86;4,38;3,57;4,89;4,19;4,57;4,14;4,28;7,52;7,14;6,86;6,80;6,84;9,88;9,74;9,77;9,66
Kaki (kg);-;-;-;-;-;-;-;-;-;-;-;3,11;2,85;2,82;2,39;3,26;4,56;3,82;2,49
Grozdje (kg);1,34;1,41;1,93;1,67;1,57;1,76;1,69;2,23;2,38;2,47;2,45;2,60;2,53;2,55;3,07;3,52;3,49;3,54;3,72
Kokoši in pišèanci, meso (nerazkošèièeno) (kg);2,25;2,60;2,80;2,80;2,82;2,80;2,74;2,84;2,88;2,82;3,10;3,45;3,63;3,98;3,71;4,12;4,40;4,62;4,43
Purani, meso (nerazkošèièeno) (kg);3,38;3,67;3,95;4,09;4,32;4,42;4,22;4,45;3,90;3,18;3,50;-;6,90;6,90;6,90;6,99;7,00;6,94;7,00
Jajca, konzumna (kos);0,10;0,10;0,10;0,10;0,11;0,11;0,12;0,13;0,15;0,17;0,14;0,16;0,13;0,13;0,18;0,19;0,19;0,19;0,20
Sveže mleko (l);0,41;0,42;0,38;0,48;0,48;0,62;0,51;0,55;0,64;1,00;0,98;0,99;0,99;0,99;1,04;1,05;1,08;1,08;1,07
Surovo maslo (kg);4,70;5,33;5,20;5,08;5,35;5,43;5,45;6,64;8,19;8,08;4,11;4,61;4,62;4,66;4,99;5,31;11,94;12,28;12,75
Kajmak (kg);8,37;10,07;8,55;9,02;9,72;9,93;10,59;12,75;14,39;12,61;8,73;14,97;13,00;15,20;15,00;16,32;16,18;16,14;15,96
Siri vseh vrst (kg);8,03;8,00;7,35;7,09;5,60;5,93;7,47;11,94;12,44;7,47;4,68;7,86;6,60;6,79;9,18;12,40;12,09;13,01;12,53
Smetana (kg);2,49;2,70;2,90;2,84;2,84;2,90;2,88;3,21;3,51;3,50;3,18;4,50;4,43;4,76;4,86;5,08;5,02;5,18;5,02
Oljèno olje (l);8,42;8,32;8,36;9,26;9,67;10,24;9,28;9,62;10,17;11,17;12,00;12,39;13,36;13,28;13,77;14,55;13,66;15,07;13,75
Kislo zelje (kg);1,21;1,24;1,24;1,38;1,59;1,61;1,64;1,73;1,81;1,84;1,84;1,93;2,02;1,97;2,10;2,20;2,19;2,01;2,01
Kisla repa (kg);1,20;1,22;1,26;1,40;1,60;1,63;1,63;1,74;1,87;1,83;1,85;1,92;2,03;1,99;2,09;2,11;2,05;2,01;2,04
Sveže gobe (kg);10,29;9,34;7,97;6,00;11,57;10,48;14,68;11,59;12,05;8,74;12,57;11,17;12,69;14,71;12,35;10,09;18,12;19,12;20,69
Med (kg);4,25;4,14;4,16;4,70;4,77;4,82;4,70;4,91;5,26;5,47;5,67;6,24;7,05;7,83;8,08;9,49;9,85;9,86;9,91
Pšenièna moka (kg);0,63;0,58;0,74;0,84;0,97;0,98;1,00;1,04;1,25;1,20;1,20;1,22;1,25;1,51;1,24;1,47;1,47;1,46;1,49
Koruzna moka (kg);0,62;0,67;0,84;1,20;1,05;1,00;1,01;1,04;1,23;1,19;1,23;1,25;1,32;1,50;2,00;1,96;1,95;1,93;1,97
